FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
10875,Chantilly,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,1,True
10875,Chantilly,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,2,True
10875,Chantilly,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,3,True
10875,Chantilly,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,4,True
10875,Chantilly,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,5,True
11369,Sand Lake Road,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,1,True
11369,Sand Lake Road,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,2,True
11811,White Marsh,BAU,,6,Door Sign,Exterior,Door,2,False
8078,Mechanicsville,BAU,,2X2MF-B,Modular 2x2 (A),Lobby & Waiting,All,2,False
