FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
11811,White Marsh,BAU,,6,Door Sign,Exterior,Door,2,FALSE
8078,Mechanicsville,BAU,,2X2MF-B,Modular 2x2 (A),Lobby & Waiting,All,2,FALSE
