FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
9525,Rodney Parham,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,2,FALSE
9525,Rodney Parham,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,3,FALSE
