FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
9900,Independence Square East,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,5,FALSE
9900,Independence Square East,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,6,FALSE
9900,Independence Square East,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,7,FALSE
9900,Independence Square East,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,8,FALSE
