FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
10501,Mission,BAU,Spanish,19B,Dual Brand Fixture,Office,Small Business,1,False
10782,Parkland,Community,,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
10782,Parkland,Community,,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
10782,Parkland,Community,,19B,Dual Brand Fixture,Lobby & Waiting,All,4,False
11016,Silver Lake Mall,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,True
11016,Silver Lake Mall,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,5,True
11339,122nd & Stark,Community,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,7,False
11529,Tulare,BAU,Spanish,46,Panel Queue,Teller,Queue Line,6,True
11529,Tulare,BAU,Spanish,18A,"Merchant Teller Hours (base, magnetic)",Teller,Merchant Teller,1,True
11687,Thousand Oaks,BAU,Spanish,2X2MF-A,Modular 2x2 (A),Office,Investment,1,False
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,True
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,True
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,True
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,True
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,5,True
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,6,True
12185,Palatka,BAU,,4C,Teller Fixture (base),Teller,Small Teller,7,True
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,6,True
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,7,True
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,8,True
12185,Palatka,BAU,,4A,Teller Fixture (flat),Teller,Small Teller,9,True
13018,Monticello Marketplace,Flagship,,10N,Desktop Neutral/FC,Office,Home Loan,1,False
13018,Monticello Marketplace,Flagship,,2X2MF-A,Modular 2x2 (A),Office,Home Loan,1,False
13681,Port Jervis,Community,,19B,Dual Brand Fixture,Office,Relationship Manager,5,False
13925,Washington Park,Community,Spanish,46,Panel Queue,Teller,Queue Line,1,True
13925,Washington Park,Community,Spanish,46,Panel Queue,Teller,Queue Line,2,True
13925,Washington Park,Community,Spanish,46,Panel Queue,Teller,Queue Line,3,True
13925,Washington Park,Community,Spanish,46,Panel Queue,Teller,Queue Line,4,True
14335,Allston,Community,Spanish,10N,Desktop Neutral/FC,Office,Relationship Manager,6,False
14335,Allston,Community,Spanish,10N,Desktop Neutral/FC,Office,Relationship Manager,7,False
14713,Leonia,BAU,Spanish,2X2MF-B,Modular 2x2 (B),Lobby & Waiting,All,1,True
14713,Leonia,BAU,Spanish,2X2MF-B,Modular 2x2 (B),Lobby & Waiting,All,2,False
15099,Franklin Plaza,BAU,Spanish,2X2MF-A,Modular 2x2 (A),Office,Investment,1,False
15353,Cardiff,Community,Spanish,2X2MF-B,Modular 2x2 (B),Lobby & Waiting,All,1,False
15617,Center City,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
15617,Center City,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
15617,Center City,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
15617,Center City,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,4,False
15646,Foothill Ranch,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
15691,Tapo Canyon,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
15691,Tapo Canyon,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
15691,Tapo Canyon,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
15703,Double Diamond,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,1,True
15703,Double Diamond,Flagship,,19B,Dual Brand Fixture,Office,Relationship Manager,3,False
15727,Baron Cameron,Flagship,Spanish,4C,Teller Fixture (base),Teller,Merchant Teller,1,True
15727,Baron Cameron,Flagship,Spanish,4C,Teller Fixture (base),Teller,Merchant Teller,2,True
15727,Baron Cameron,Flagship,Spanish,4C,Teller Fixture (base),Teller,Merchant Teller,3,True
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,1,True
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,2,True
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,3,True
