FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,1,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,2,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,3,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,4,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,5,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,6,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,7,TRUE
15825,Oso / Marguerite,Flagship,,4C,Teller Fixture (base),Teller,Small Teller,8,TRUE
15825,Oso / Marguerite,Flagship,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,FALSE
15825,Oso / Marguerite,Flagship,,19B,Dual Brand Fixture,Lobby & Waiting,All,2,FALSE
