FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
8445,Hollywood Main,Flagship,Spanish,10N,Desktop Neutral/FC,Lobby & Waiting,All,1,FALSE
8445,Hollywood Main,Flagship,Spanish,10N,Desktop Neutral/FC,Lobby & Waiting,All,2,FALSE
8445,Hollywood Main,Flagship,Spanish,14UD,Universal Desktop,Office,Relationship Manager,1,FALSE
8445,Hollywood Main,Flagship,Spanish,14UD,Universal Desktop,Office,Relationship Manager,2,FALSE
