FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
11480,Santa Fe Springs,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,7,FALSE
11480,Santa Fe Springs,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,8,FALSE
11480,Santa Fe Springs,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,9,FALSE
11480,Santa Fe Springs,BAU,Spanish,19B,Dual Brand Fixture,Office,Relationship Manager,10,FALSE
