FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
11255,Palm Desert,Flagship,Spanish,11C,"Department Sign (wall, large)",Teller,Behind Teller,1,TRUE
14652,Adams,BAU,Spanish,2X2MF,Modular 2x2 (A),Teller,Queue Line,1,TRUE
