FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,1,TRUE
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,2,TRUE
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,3,TRUE
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,4,TRUE
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,5,TRUE
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,6,TRUE
7415,16th & Osborn,BAU,Spanish,4C,Teller Fixture (base),Teller,Small Teller,7,TRUE
