FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
10903,Mid-Pinellas,BAU,Spanish,11D,Department Sign (base),Lobby & Waiting,All,1,FALSE
10903,Mid-Pinellas,BAU,Spanish,11D,Department Sign (base),Lobby & Waiting,All,2,FALSE
10903,Mid-Pinellas,BAU,Spanish,11D,Department Sign (base),Lobby & Waiting,All,3,FALSE
10903,Mid-Pinellas,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,FALSE
10903,Mid-Pinellas,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,2,FALSE
