FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
10153,Kings Lake Square,BAU,Spanish,6,Door Sign,Exterior,Door,2,False
10963,Northeast,BAU,Spanish,6,Door Sign,Exterior,Door,2,False
11564,Tarpon Mall,BAU,,1B,Entry Display (wall),Lobby & Waiting,All,1,False
13666,Middletown,BAU,Spanish,11E,"Department Sign (wall, small)",Teller,Behind Teller,4,True
13666,Middletown,BAU,Spanish,11E,"Department Sign (wall, small)",Teller,Behind Teller,5,True
14837,Bordentown,BAU,,2X2MF-A,Modular 2x2 (A),Office,Investment,1,False
14837,Bordentown,BAU,,2X3MF-A,Modular 2x3 (A),Office,Small Business,1,False
892,Antioch Square,Community,Spanish,11E,"Department Sign (wall, small)",Lobby & Waiting,All,1,False
9312,Redondo Beach,Flagship,Spanish,6,Door Sign,Exterior,Door,3,False
